dist,ttc,heading_err,approach_speed,ammo,mines,threat_density,threat_angle,thrust,turn_rate
360.9999999999999,6.016666666666665,120.0,-60.0,0,0,2.4,119.99999999999999,0.5333333333333333,0.0
358.99999999999994,5.9833333333333325,15.0,-60.0,0,0,2.4,14.999999999999993,0.5333333333333333,0.25
356.9999999999999,5.949999999999998,13.5,-60.0,0,0,2.4,14.99999999999999,0.5333333333333333,-0.025
354.99999999999983,5.916666666666663,13.649999999999977,-60.0,0,0,2.4,14.999999999999982,0.5333333333333333,0.22749999999999962
352.9999999999998,5.883333333333329,12.284999999999968,-60.0,0,0,2.4,14.99999999999998,0.5333333333333333,0.20474999999999946
350.9999999999997,5.849999999999995,11.056499999999971,-60.0,0,0,2.4,14.999999999999977,0.5333333333333333,0.18427499999999952
348.9999999999996,5.816666666666659,9.950849999999974,-60.00000000000001,0,0,2.4,14.999999999999973,0.5333333333333333,0.16584749999999956
346.99999999999955,5.783333333333325,8.955764999999985,-60.00000000000001,0,0,2.4,14.99999999999997,0.5333333333333333,0.14926274999999975
344.9999999999995,5.749999999999991,8.060188499999981,-60.00000000000001,0,0,2.4,14.999999999999964,0.5333333333333333,0.13433647499999968
342.99999999999943,5.716666666666657,7.254169649999966,-60.0,0,0,2.4,14.999999999999961,0.5333333333333333,0.12090282749999944
340.9999999999994,5.683333333333323,6.528752684999972,-60.0,0,0,2.4,14.999999999999957,0.5333333333333333,0.10881254474999953
338.9999999999993,5.649999999999989,5.875877416499975,-60.0,0,0,2.4,14.999999999999952,0.5333333333333333,0.09793129027499958
336.99999999999926,5.616666666666655,5.2882896748499775,-60.0,0,0,2.4,14.999999999999948,0.5333333333333333,0.08813816124749962
334.9999999999992,5.583333333333321,4.75946070736498,-59.99999999999999,0,0,2.4,14.999999999999945,0.5333333333333333,0.07932434512274919
332.99999999999915,5.549999999999986,4.2835146366284675,-60.0,0,0,2.4,14.999999999999941,0.5333333333333333,0.07139191061047447
330.9999999999991,5.5166666666666515,3.855163172965632,-60.0,0,0,2.4,14.999999999999936,0.5333333333333333,0.0642527195494272
328.99999999999903,5.483333333333317,3.4696468556690547,-60.0,0,0,2.4,14.999999999999932,0.5333333333333333,0.057827447594484244
326.999999999999,5.449999999999983,3.122682170102138,-60.0,0,0,2.4,14.999999999999925,0.5333333333333333,0.05204470283503563
324.9999999999989,5.416666666666648,2.81041395309191,-60.0,0,0,2.4,14.999999999999922,0.5333333333333333,0.04684023255153183
322.99999999999886,5.383333333333314,2.5293725577827217,-60.0,0,0,2.4,14.99999999999992,0.5333333333333333,0.04215620929637869
320.99999999999875,5.349999999999978,2.276435302004444,-60.00000000000001,0,0,2.4,14.999999999999913,0.5333333333333333,0.03794058836674073
318.9999999999987,5.316666666666644,2.048791771803991,-60.00000000000001,0,0,2.4,14.99999999999991,0.5333333333333333,0.03414652953006651
